Date,Close
"Dec 01, 2022",382.43
"Nov 01, 2022",407.68
"Oct 01, 2022",386.21
"Sep 01, 2022",357.18
"Aug 01, 2022",395.18
"Jul 01, 2022",411.99
"Jun 01, 2022",377.25
"May 01, 2022",412.93
"Apr 01, 2022",412.00
"Mar 01, 2022",451.64
"Feb 01, 2022",436.63
"Jan 01, 2022",449.91
"Dec 01, 2021",474.96
"Nov 01, 2021",455.56
"Oct 01, 2021",459.25
"Sep 01, 2021",429.14
"Aug 01, 2021",451.56
"Jul 01, 2021",438.51
"Jun 01, 2021",428.06
"May 01, 2021",420.04
"Apr 01, 2021",417.30
"Mar 01, 2021",396.33
"Feb 01, 2021",380.36
"Jan 01, 2021",370.07
"Dec 01, 2020",373.88
"Nov 01, 2020",362.06
"Oct 01, 2020",326.54
"Sep 01, 2020",334.89
"Aug 01, 2020",349.31
"Jul 01, 2020",326.52
"Jun 01, 2020",308.36
"May 01, 2020",304.32
"Apr 01, 2020",290.48
"Mar 01, 2020",257.75
"Feb 01, 2020",296.26
"Jan 01, 2020",321.73
